date,avg_temp,total_rainfall,ano
2015-04-12,28.53142857142857,18.0,2015
2015-04-19,27.014285714285712,39.910000000000004,2015
2015-04-26,27.37142857142857,0.35,2015
2015-05-03,27.5,11.14,2015
2015-05-10,27.051428571428573,4.59,2015
2015-05-17,28.00714285714286,0.47,2015
2015-05-24,27.594285714285714,2.2199999999999998,2015
2015-05-31,25.774285714285718,6.68,2015
2015-06-07,25.952857142857145,1.29,2015
2015-06-14,25.697142857142858,2.25,2015
2015-06-21,25.669999999999998,0.64,2015
2015-06-28,25.400000000000002,0.26,2015
2015-07-05,23.957142857142856,1.81,2015
2015-07-12,25.037142857142857,1.1,2015
2015-07-19,25.07857142857143,2.32,2015
2015-07-26,24.15285714285714,0.9400000000000001,2015
2015-08-02,24.642857142857142,1.1,2015
2015-08-09,24.395714285714288,1.8900000000000001,2015
2015-08-16,24.032857142857143,0.53,2015
2015-08-23,23.48857142857143,1.08,2015
2015-08-30,25.41,1.4900000000000002,2015
2015-09-06,26.71,1.1400000000000001,2015
2015-09-13,26.795714285714286,0.04,2015
2015-09-20,27.365714285714287,0.0,2015
2015-09-27,27.035714285714285,0.36,2015
2015-10-04,27.784285714285716,0.0,2015
2015-10-11,28.060000000000002,0.41000000000000003,2015
2015-10-18,28.511428571428574,3.53,2015
2015-10-25,27.914285714285715,0.01,2015
2015-11-01,29.648571428571426,0.0,2015
2015-11-08,29.419999999999998,0.24,2015
2015-11-15,29.7,0.0,2015
2015-11-22,29.994285714285713,0.0,2015
2015-11-29,31.484285714285715,0.37,2015
2015-12-06,32.082857142857144,1.7100000000000002,2015
2015-12-13,31.222857142857144,2.21,2015
2015-12-20,30.768571428571427,0.25,2015
2015-12-27,29.797142857142855,0.02,2015
2016-01-03,28.71142857142857,2.6399999999999997,2015
2016-01-10,30.217142857142857,1.29,2016
2016-01-17,26.02,95.75,2016
2016-01-24,26.291428571428572,43.46,2016
2016-01-31,24.22142857142857,127.3,2016
2016-02-07,24.527142857142856,18.79,2016
2016-02-14,24.51571428571429,5.6000000000000005,2016
2016-02-21,25.565714285714286,9.65,2016
2016-02-28,25.478571428571428,14.959999999999999,2016
2016-03-06,26.915714285714284,0.12000000000000001,2016
2016-03-13,27.89428571428571,1.03,2016
2016-03-20,28.325714285714287,1.86,2016
2016-03-27,28.81714285714286,0.6,2016
2016-04-03,30.164285714285715,0.030000000000000002,2016
2016-04-10,27.958571428571428,9.11,2016
2016-04-17,29.490000000000002,0.09,2016
2016-04-24,28.349999999999998,3.55,2016
2016-05-01,27.88,0.26,2016
2016-05-08,29.451428571428572,0.0,2016
2016-05-15,27.639999999999997,0.75,2016
2016-05-22,28.169999999999998,0.09,2016
2016-05-29,27.40285714285714,0.19,2016
2016-06-05,26.21857142857143,9.870000000000001,2016
2016-06-12,27.115714285714287,0.29000000000000004,2016
2016-06-19,27.55,0.0,2016
2016-06-26,25.23857142857143,1.2,2016
2016-07-03,24.25714285714286,2.0,2016
2016-07-10,23.747142857142855,1.37,2016
2016-07-17,24.997142857142858,0.43,2016
2016-07-24,25.344285714285714,0.08,2016
2016-07-31,24.939999999999998,0.0,2016
2016-08-07,24.07,0.3,2016
2016-08-14,24.09714285714286,0.9,2016
2016-08-21,25.515714285714285,0.0,2016
2016-08-28,26.50714285714286,0.01,2016
2016-09-04,25.697142857142858,1.98,2016
2016-09-11,25.93857142857143,1.15,2016
2016-09-18,25.90285714285714,1.31,2016
2016-09-25,27.00714285714286,0.47,2016
2016-10-02,28.427142857142858,0.01,2016
2016-10-09,29.131428571428575,1.3900000000000001,2016
2016-10-16,29.28,3.59,2016
2016-10-23,27.701428571428572,1.0699999999999998,2016
2016-10-30,29.267142857142858,0.06,2016
2016-11-06,28.72142857142857,0.0,2016
2016-11-13,28.35571428571429,0.15,2016
2016-11-20,29.325714285714287,0.7999999999999999,2016
2016-11-27,29.15857142857143,12.74,2016
2016-12-04,29.472857142857144,1.2,2016
2016-12-11,30.34714285714286,0.01,2016
2016-12-18,32.10857142857143,1.46,2016
2016-12-25,28.821428571428573,10.84,2016
2017-01-01,28.360000000000003,1.58,2016
2017-01-08,29.49142857142857,1.03,2017
2017-01-15,29.389999999999997,1.21,2017
2017-01-22,29.795714285714286,0.5499999999999999,2017
2017-01-29,30.092857142857145,0.08,2017
2017-02-05,29.867142857142856,3.23,2017
2017-02-12,28.217142857142854,14.200000000000001,2017
2017-02-19,27.912857142857142,0.22000000000000003,2017
2017-02-26,27.454285714285714,32.28,2017
2017-03-05,27.915714285714284,8.75,2017
2017-03-12,28.044285714285714,0.53,2017
2017-03-19,27.924285714285713,5.92,2017
2017-03-26,29.41,0.16,2017
2017-04-02,28.33857142857143,28.81,2017
2017-04-09,27.164285714285715,1.72,2017
2017-04-16,28.60571428571429,2.15,2017
2017-04-23,29.117142857142856,0.08,2017
2017-04-30,28.810000000000002,0.060000000000000005,2017
2017-05-07,27.174285714285713,1.39,2017
2017-05-14,27.939999999999998,0.05,2017
2017-05-21,28.96142857142857,2.88,2017
2017-05-28,26.14428571428571,3.0900000000000003,2017
2017-06-04,26.33142857142857,1.21,2017
2017-06-11,26.125714285714285,0.26,2017
2017-06-18,24.775714285714287,5.95,2017
2017-06-25,23.945714285714285,1.6099999999999999,2017
2017-07-02,23.97142857142857,2.13,2017
2017-07-09,22.38714285714286,2.12,2017
2017-07-16,22.655714285714286,2.21,2017
2017-07-23,23.52285714285714,0.51,2017
2017-07-30,23.03857142857143,3.36,2017
2017-08-06,24.935714285714287,0.22999999999999998,2017
2017-08-13,25.442857142857143,0.0,2017
2017-08-20,25.584285714285716,0.13,2017
2017-08-27,25.18285714285714,1.18,2017
2017-09-03,25.177142857142858,0.97,2017
2017-09-10,24.274285714285718,7.53,2017
2017-09-17,24.011428571428574,5.88,2017
2017-09-24,24.38,1.74,2017
2017-10-01,26.05,0.5,2017
2017-10-08,26.824285714285715,0.57,2017
2017-10-15,27.50857142857143,0.0,2017
2017-10-22,27.62,0.21,2017
2017-10-29,28.677142857142858,0.02,2017
2017-11-05,29.608571428571427,2.2600000000000002,2017
2017-11-12,29.634285714285713,0.8,2017
2017-11-19,27.509999999999998,10.33,2017
2017-11-26,29.732857142857142,0.45,2017
2017-12-03,30.274285714285714,0.24,2017
2017-12-10,29.375714285714285,11.469999999999999,2017
2017-12-17,27.204285714285714,5.3,2017
2017-12-24,28.44142857142857,0.84,2017
2017-12-31,30.545714285714286,0.43,2017
2018-01-07,29.23428571428571,19.08,2018
2018-01-14,27.18142857142857,4.99,2018
2018-01-21,28.472857142857144,1.02,2018
2018-01-28,28.135714285714283,8.3,2018
2018-02-04,27.84,30.33,2018
2018-02-11,25.895714285714288,72.61,2018
2018-02-18,25.735714285714288,4.18,2018
2018-02-25,26.74285714285714,12.26,2018
2018-03-04,27.065714285714286,8.42,2018
2018-03-11,27.10571428571429,44.44,2018
2018-03-18,26.34857142857143,25.48,2018
2018-03-25,26.74857142857143,25.89,2018
2018-04-01,26.102857142857143,0.9700000000000001,2018
2018-04-08,27.139999999999997,20.55,2018
2018-04-15,25.37,12.84,2018
2018-04-22,26.027142857142856,2.49,2018
2018-04-29,26.042857142857144,0.65,2018
2018-05-06,26.55857142857143,1.37,2018
2018-05-13,25.947142857142858,7.28,2018
2018-05-20,26.70285714285714,0.25,2018
2018-05-27,26.00142857142857,0.95,2018
2018-06-03,25.34,3.89,2018
2018-06-10,26.15142857142857,0.99,2018
2018-06-17,24.657142857142855,0.96,2018
2018-06-24,23.397142857142857,3.69,2018
2018-07-01,23.881428571428568,0.86,2018
2018-07-08,24.792857142857144,0.09999999999999999,2018
2018-07-15,24.80857142857143,0.02,2018
2018-07-22,24.09857142857143,1.01,2018
2018-07-29,24.472857142857144,0.16999999999999998,2018
2018-08-05,25.405714285714286,0.01,2018
2018-08-12,26.15142857142857,0.0,2018
2018-08-19,26.897142857142857,0.33,2018
2018-08-26,25.47714285714286,0.62,2018
2018-09-02,24.884285714285713,1.0499999999999998,2018
2018-09-09,26.75142857142857,0.81,2018
2018-09-16,26.725714285714282,0.15,2018
2018-09-23,28.232857142857142,0.0,2018
2018-09-30,28.407142857142855,0.0,2018
